time,voltage,pressed
0.0658268,4.183773216,0
0.1391073,4.17888563,0
0.2009097,4.17888563,0
0.2628788,4.17888563,0
0.327218,4.17888563,0
0.3874931,4.183773216,0
0.448895,4.183773216,0
0.5289564,4.183773216,0
0.5864049,4.183773216,0
0.6513771,4.17888563,0
0.7130048,4.17888563,0
0.7898094,4.183773216,0
0.8509461,4.183773216,0
0.9112249,4.183773216,0
0.9722075,4.183773216,0
1.0510092,4.173998045,0
1.1137163,4.173998045,0
1.1625667,4.17888563,0
1.2350303,4.17888563,0
1.3114888,4.173998045,0
1.3870711,4.17888563,0
1.4431764,4.173998045,0
1.509957,4.183773216,0
1.5706261,4.203323558,0
1.6220375,4.198435973,0
1.6924591,4.203323558,0
1.7529326,4.261974585,0
1.8148832,4.286412512,0
1.877286,4.364613881,0
1.9382223,4.49657869,0
1.9986588,4.794721408,0
2.0600956,4.877810362,0
2.1215435,4.750733138,0
2.1832771,4.599217986,0
2.2454232,4.501466276,0
2.3064972,4.467253177,0
2.3682015,4.423264907,0
2.4273202,4.408602151,0
2.4892576,4.330400782,0
2.5506468,4.227761486,0
2.6125208,4.2228739,0
2.6727836,4.26686217,0
2.7344424,4.384164223,0
2.7942916,4.525904203,0
2.8573255,4.403714565,0
2.917158,4.374389052,0
2.9785592,4.252199413,0
3.0398637,4.217986315,0
3.1018689,4.130009775,0
3.1619575,4.095796676,0
3.2233778,3.71945259,0
3.2853131,2.653958944,1
3.3470035,2.047898338,1
3.4080269,1.764418377,1
3.4693795,1.647116325,1
3.5298641,1.603128055,1
3.5944916,1.544477028,1
3.6544595,1.480938416,1
3.7153495,1.490713587,1
3.7776132,1.559139785,1
3.8395129,1.642228739,1
3.8996977,1.691104594,1
3.9601519,1.764418377,1
4.022647,1.818181818,1
4.0844139,1.788856305,1
4.1446504,1.793743891,1
4.204521,1.764418377,1
4.2664546,1.779081134,1
4.3270149,1.774193548,1
4.3893139,1.774193548,1
4.4498834,1.779081134,1
4.5132727,1.764418377,1
4.5740452,1.744868035,1
4.6352939,1.769305963,1
4.6960056,1.886608016,1
4.7592592,2.023460411,1
4.8213011,2.116324536,1
4.8819634,2.165200391,1
4.9431255,2.233626588,1
5.004372,2.24340176,1
5.0644086,2.248289345,1
5.1266215,2.253176931,1
5.1869967,2.262952102,1
5.2488415,2.262952102,1
5.3088488,2.248289345,1
5.3711909,2.233626588,1
5.4316653,2.218963832,1
5.4951739,2.19941349,1
5.5553488,2.179863148,1
5.6180211,2.160312805,1
5.678702,2.145650049,1
5.7411957,2.135874878,1
5.8171002,2.11143695,1
5.8776605,2.106549365,1
5.9411186,2.091886608,1
6.0016125,2.086999022,1
6.06225,2.077223851,1
6.1247462,2.06744868,1
6.1863278,2.057673509,1
6.2472237,2.052785924,1
6.3086071,2.043010753,1
6.3693804,2.033235582,1
6.4325041,2.028347996,1
6.4925429,2.033235582,1
6.5557389,2.047898338,1
6.6165057,2.082111437,1
6.6774844,2.101661779,1
6.7371572,2.126099707,1
6.798676,2.140762463,1
6.8605198,2.179863148,1
6.9226737,2.189638319,1
6.9826925,2.209188661,1
7.0438514,2.223851417,1
7.1059676,2.233626588,1
7.1677578,2.24340176,1
7.2284811,2.258064516,1
7.2912921,2.258064516,1
7.3515284,2.267839687,1
7.4130036,2.282502444,1
7.4734284,2.282502444,1
7.5340525,2.277614858,1
7.5954754,2.272727273,1
7.6581109,2.267839687,1
7.7186742,2.262952102,1
7.7784872,2.258064516,1
7.8426045,2.248289345,1
7.903076,2.258064516,1
7.9631037,2.253176931,1
8.0237332,2.258064516,1
8.0867191,2.258064516,1
8.1473052,2.248289345,1
8.2082979,2.24340176,1
8.2685508,2.24340176,1
8.3320958,2.238514174,1
8.3931098,2.223851417,1
8.4555186,2.223851417,1
8.5176441,2.233626588,1
8.57915,2.228739003,1
8.6403931,2.24340176,1
8.7008451,2.238514174,1
8.7624139,2.228739003,1
8.8261493,2.209188661,1
8.8861367,2.19941349,1
8.9484482,2.194525904,1
9.0093535,2.184750733,1
9.070734,2.170087977,1
9.130884,2.170087977,1
9.1928948,2.165200391,1
9.2556689,2.15542522,1
9.3165116,2.150537634,1
9.3753069,2.145650049,1
9.4373962,2.135874878,1
9.4988638,2.130987292,1
9.5607199,2.121212121,1
9.6207337,2.116324536,1
9.6830091,2.11143695,1
9.7433981,2.101661779,1
9.8041032,2.096774194,1
9.8648158,2.086999022,1
9.9287619,2.086999022,1
9.9906196,2.082111437,1
10.0516033,2.082111437,1
10.1119864,2.072336266,1
10.1739738,2.072336266,1
10.2374792,2.06744868,1
10.2963958,2.06744868,1
10.3577264,2.062561095,1
10.4248874,2.052785924,1
10.4967631,2.052785924,1
10.5573109,2.047898338,1
10.6193947,2.047898338,1
10.6791267,2.033235582,1
10.7417558,2.033235582,1
10.8019822,2.023460411,1
10.8639756,2.023460411,1
10.9242652,2.023460411,1
10.9856756,2.028347996,1
11.0470338,2.033235582,1
11.1095408,2.028347996,1
11.1685088,2.028347996,1
11.232201,2.043010753,1
11.2920705,2.047898338,1
11.3524543,2.047898338,1
11.4131792,2.052785924,1
11.4767183,2.057673509,1
11.5366113,2.072336266,1
11.5987572,2.077223851,1
11.658701,2.082111437,1
